trip_id	stop_id	stop_sequence	arrival_time	departure_time
IDFM:RATP:107752-C01374-COU_RATP_5082722_2701033_259	IDFM:22145	13	19:10:00	19:10:00
IDFM:RATP:107752-C01374-COU_RATP_5082722_2701033_259	IDFM:463306	14	19:11:00	19:11:00
IDFM:RATP:107752-C01374-COU_RATP_5082722_2701033_259	IDFM:463161	15	19:12:00	19:12:00
IDFM:RATP:107752-C01374-COU_RATP_5082722_2701033_259	IDFM:463158	16	19:14:00	19:14:00
IDFM:RATP:107752-C01374-COU_RATP_5082722_2701033_259	IDFM:463208	17	19:15:00	19:15:00
IDFM:RATP:107752-C01374-COU_RATP_5082722_2701033_259	IDFM:22147	18	19:16:00	19:16:00
IDFM:RATP:107752-C01374-COU_RATP_5082722_2701033_259	IDFM:22142	19	19:17:00	19:17:00
IDFM:RATP:107752-C01374-COU_RATP_5082722_2701033_259	IDFM:22134	20	19:18:00	19:18:00
IDFM:RATP:107752-C01374-COU_RATP_5082722_2701033_259	IDFM:22153	21	19:19:00	19:19:00
IDFM:RATP:107752-C01374-COU_RATP_5082722_2701033_259	IDFM:463022	22	19:21:00	19:21:00
IDFM:RATP:107752-C01374-COU_RATP_5082722_2701033_259	IDFM:463183	23	19:22:00	19:22:00
IDFM:RATP:107752-C01374-COU_RATP_5082722_2701033_259	IDFM:463093	24	19:24:00	19:24:00
IDFM:RATP:107752-C01374-COU_RATP_5082722_2701033_259	IDFM:22152	25	19:25:00	19:25:00
IDFM:RATP:107752-C01374-COU_RATP_5082722_2701033_259	IDFM:22132	26	19:26:00	19:26:00
IDFM:RATP:107752-C01374-COU_RATP_5082722_2701033_259	IDFM:463310	27	19:27:00	19:27:00
IDFM:RATP:107752-C01374-COU_RATP_5082722_2701033_259	IDFM:22141	28	19:29:00	19:29:00
IDFM:RATP:107752-C01374-COU_RATP_5082722_2701032_1	IDFM:22149	0	05:34:00	05:34:00
IDFM:RATP:107752-C01374-COU_RATP_5082722_2701032_1	IDFM:22148	1	05:35:00	05:35:00
IDFM:RATP:107752-C01374-COU_RATP_5082722_2701032_1	IDFM:462979	2	05:36:00	05:36:00
IDFM:RATP:107752-C01374-COU_RATP_5082722_2701032_1	IDFM:463313	3	05:37:00	05:37:00
IDFM:RATP:107752-C01374-COU_RATP_5082722_2701032_1	IDFM:463072	4	05:38:00	05:38:00
IDFM:RATP:107752-C01374-COU_RATP_5082722_2701032_1	IDFM:463171	5	05:40:00	05:40:00
IDFM:RATP:107752-C01374-COU_RATP_5082722_2701032_1	IDFM:22146	6	05:41:00	05:41:00
IDFM:RATP:107752-C01374-COU_RATP_5082722_2701032_1	IDFM:22092	7	05:42:00	05:42:00
IDFM:RATP:107752-C01374-COU_RATP_5082722_2701032_1	IDFM:22150	8	05:43:00	05:43:00
IDFM:RATP:107752-C01374-COU_RATP_5082722_2701032_1	IDFM:22137	9	05:44:00	05:44:00
IDFM:RATP:107752-C01374-COU_RATP_5082722_2701032_1	IDFM:462995	10	05:45:00	05:45:00
IDFM:RATP:107752-C01374-COU_RATP_5082722_2701032_1	IDFM:462993	11	05:46:00	05:46:00
IDFM:RATP:107752-C01374-COU_RATP_5082722_2701032_1	IDFM:22139	12	05:48:00	05:48:00
IDFM:RATP:107752-C01374-COU_RATP_5082722_2701032_1	IDFM:22138	13	05:49:00	05:49:00
IDFM:RATP:107752-C01374-COU_RATP_5082722_2701032_1	IDFM:22143	14	05:50:00	05:50:00
IDFM:RATP:107752-C01374-COU_RATP_5082722_2701032_1	IDFM:463016	15	05:51:00	05:51:00
IDFM:RATP:107752-C01374-COU_RATP_5082722_2701032_1	IDFM:22131	16	05:52:00	05:52:00
IDFM:RATP:107752-C01374-COU_RATP_5082722_2701032_1	IDFM:463104	17	05:54:00	05:54:00
IDFM:RATP:107752-C01374-COU_RATP_5082722_2701032_1	IDFM:22144	18	05:55:00	05:55:00
IDFM:RATP:107752-C01374-COU_RATP_5082722_2701032_1	IDFM:22154	19	05:56:00	05:56:00
IDFM:RATP:107752-C01374-COU_RATP_5082722_2701032_1	IDFM:22140	20	05:57:00	05:57:00
IDFM:RATP:107752-C01374-COU_RATP_5082722_2701032_1	IDFM:26602	21	05:59:00	05:59:00
IDFM:RATP:107752-C01374-COU_RATP_5082722_2701032_1	IDFM:483313	22	06:01:00	06:01:00
IDFM:RATP:107752-C01374-COU_RATP_5082722_2701032_1	IDFM:483314	23	06:03:00	06:03:00
IDFM:RATP:107752-C01374-COU_RATP_5082722_2701031_346	IDFM:463073	0	23:49:00	23:49:00
IDFM:RATP:107752-C01374-COU_RATP_5082722_2701031_346	IDFM:22133	1	23:50:00	23:50:00
IDFM:RATP:107752-C01374-COU_RATP_5082722_2701031_346	IDFM:462974	2	23:50:00	23:50:00
IDFM:RATP:107752-C01374-COU_RATP_5082722_2701031_346	IDFM:463148	3	23:51:00	23:51:00
IDFM:RATP:107752-C01374-COU_RATP_5082722_2701031_346	IDFM:22130	4	23:53:00	23:53:00
IDFM:RATP:107752-C01374-COU_RATP_5082722_2701031_346	IDFM:22149	5	23:54:00	23:54:00
IDFM:RATP:107752-C01374-COU_RATP_5082722_2701031_346	IDFM:22148	6	23:56:00	23:56:00
IDFM:RATP:107752-C01374-COU_RATP_5082722_2701031_346	IDFM:462979	7	23:57:00	23:57:00
IDFM:RATP:107752-C01374-COU_RATP_5082722_2701031_346	IDFM:463313	8	23:58:00	23:58:00
IDFM:RATP:107752-C01374-COU_RATP_5082722_2701031_346	IDFM:463072	9	23:59:00	23:59:00
IDFM:RATP:107752-C01374-COU_RATP_5082722_2701031_346	IDFM:463171	10	00:00:00	00:00:00
IDFM:RATP:107752-C01374-COU_RATP_5082722_2701031_346	IDFM:22146	11	00:01:00	00:01:00
IDFM:RATP:107752-C01374-COU_RATP_5082722_2701031_346	IDFM:22092	12	00:02:00	00:02:00
IDFM:RATP:107752-C01374-COU_RATP_5082722_2701031_346	IDFM:22150	13	00:03:00	00:03:00
IDFM:RATP:107752-C01374-COU_RATP_5082722_2701031_346	IDFM:22137	14	00:04:00	00:04:00
IDFM:RATP:107752-C01374-COU_RATP_5082722_2701031_346	IDFM:462995	15	00:05:00	00:05:00
IDFM:RATP:107752-C01374-COU_RATP_5082722_2701031_346	IDFM:462993	16	00:06:00	00:06:00
IDFM:RATP:107752-C01374-COU_RATP_5082722_2701031_346	IDFM:22139	17	00:07:00	00:07:00
IDFM:RATP:107752-C01374-COU_RATP_5082722_2701031_346	IDFM:22138	18	00:09:00	00:09:00
IDFM:RATP:107752-C01374-COU_RATP_5082722_2701031_346	IDFM:22143	19	00:10:00	00:10:00
IDFM:RATP:107752-C01374-COU_RATP_5082722_2701031_346	IDFM:463016	20	00:11:00	00:11:00
IDFM:RATP:107752-C01374-COU_RATP_5082722_2701031_346	IDFM:22131	21	00:12:00	00:12:00
IDFM:RATP:107752-C01374-COU_RATP_5082722_2701031_346	IDFM:463104	22	00:13:00	00:13:00
IDFM:RATP:107752-C01374-COU_RATP_5082722_2701031_346	IDFM:22144	23	00:14:00	00:14:00
IDFM:RATP:107752-C01374-COU_RATP_5082722_2701031_346	IDFM:22154	24	00:16:00	00:16:00
IDFM:RATP:107752-C01374-COU_RATP_5082722_2701031_346	IDFM:22140	25	00:17:00	00:17:00
IDFM:RATP:107752-C01374-COU_RATP_5082722_2701031_346	IDFM:26602	26	00:19:00	00:19:00
IDFM:RATP:107752-C01374-COU_RATP_5082722_2701031_346	IDFM:483313	27	00:21:00	00:21:00
IDFM:RATP:107752-C01374-COU_RATP_5082722_2701031_346	IDFM:483314	28	00:23:00	00:23:00
IDFM:RATP:112742-C01376-COU_RATP_5086081_3129068_204	IDFM:22073	0	19:43:00	19:43:00
IDFM:RATP:112742-C01376-COU_RATP_5086081_3129068_204	IDFM:22167	1	19:45:00	19:45:00
IDFM:RATP:112742-C01376-COU_RATP_5086081_3129068_204	IDFM:22177	2	19:46:00	19:46:00
IDFM:RATP:112742-C01376-COU_RATP_5086081_3129068_204	IDFM:463169	3	19:48:00	19:48:00
IDFM:RATP:112742-C01376-COU_RATP_5086081_3129068_204	IDFM:463075	4	19:49:00	19:49:00
IDFM:RATP:112742-C01376-COU_RATP_5086081_3129068_204	IDFM:463128	5	19:50:00	19:50:00
IDFM:RATP:112742-C01376-COU_RATP_5086081_3129068_204	IDFM:463288	6	19:51:00	19:51:00
IDFM:RATP:112742-C01376-COU_RATP_5086081_3129068_204	IDFM:22174	7	19:52:00	19:52:00
IDFM:RATP:112742-C01376-COU_RATP_5086081_3129068_204	IDFM:463004	8	19:53:00	19:53:00
IDFM:RATP:112742-C01376-COU_RATP_5086081_3129068_204	IDFM:463003	9	19:54:00	19:54:00
IDFM:RATP:112742-C01376-COU_RATP_5086081_3129068_204	IDFM:22175	10	19:56:00	19:56:00
IDFM:RATP:112742-C01376-COU_RATP_5086081_3129068_204	IDFM:22173	11	19:57:00	19:57:00
IDFM:RATP:112742-C01376-COU_RATP_5086081_3129068_204	IDFM:22160	12	19:58:00	19:58:00
IDFM:RATP:112742-C01376-COU_RATP_5086081_3129068_204	IDFM:22158	13	20:00:00	20:00:00
IDFM:RATP:112742-C01376-COU_RATP_5086081_3129068_204	IDFM:22155	14	20:01:00	20:01:00
IDFM:RATP:112742-C01376-COU_RATP_5086081_3129068_204	IDFM:22172	15	20:02:00	20:02:00
IDFM:RATP:112742-C01376-COU_RATP_5086081_3129068_204	IDFM:462955	16	20:03:00	20:03:00
IDFM:RATP:112742-C01376-COU_RATP_5086081_3129068_204	IDFM:462948	17	20:05:00	20:05:00
IDFM:RATP:112742-C01376-COU_RATP_5086081_3129068_204	IDFM:463314	18	20:06:00	20:06:00
IDFM:RATP:112742-C01376-COU_RATP_5086081_3129068_204	IDFM:22176	19	20:07:00	20:07:00
IDFM:RATP:112742-C01376-COU_RATP_5086081_3129068_204	IDFM:463194	20	20:08:00	20:08:00
IDFM:RATP:112742-C01376-COU_RATP_5086081_3129068_204	IDFM:22171	21	20:09:00	20:09:00
IDFM:RATP:112742-C01376-COU_RATP_5086081_3129068_204	IDFM:463005	22	20:10:00	20:10:00
IDFM:RATP:112742-C01376-COU_RATP_5086081_3129068_204	IDFM:22165	23	20:11:00	20:11:00
IDFM:RATP:112742-C01376-COU_RATP_5086081_3129068_204	IDFM:22164	24	20:14:00	20:14:00
IDFM:RATP:112742-C01376-COU_RATP_5086081_3129068_195	IDFM:22073	0	19:10:00	19:10:00
IDFM:RATP:112742-C01376-COU_RATP_5086081_3129068_195	IDFM:22167	1	19:12:00	19:12:00
IDFM:RATP:112742-C01376-COU_RATP_5086081_3129068_195	IDFM:22177	2	19:13:00	19:13:00
IDFM:RATP:112742-C01376-COU_RATP_5086081_3129068_195	IDFM:463169	3	19:14:00	19:14:00
IDFM:RATP:112742-C01376-COU_RATP_5086081_3129068_195	IDFM:463075	4	19:15:00	19:15:00
IDFM:RATP:112742-C01376-COU_RATP_5086081_3129068_195	IDFM:463128	5	19:16:00	19:16:00
IDFM:RATP:112742-C01376-COU_RATP_5086081_3129068_195	IDFM:463288	6	19:18:00	19:18:00
IDFM:RATP:112742-C01376-COU_RATP_5086081_3129068_195	IDFM:22174	7	19:19:00	19:19:00
IDFM:RATP:112742-C01376-COU_RATP_5086081_3129068_195	IDFM:463004	8	19:20:00	19:20:00
IDFM:RATP:112742-C01376-COU_RATP_5086081_3129068_195	IDFM:463003	9	19:21:00	19:21:00
IDFM:RATP:112742-C01376-COU_RATP_5086081_3129068_195	IDFM:22175	10	19:22:00	19:22:00
IDFM:RATP:112742-C01376-COU_RATP_5086081_3129068_195	IDFM:22173	11	19:23:00	19:23:00
IDFM:RATP:112742-C01376-COU_RATP_5086081_3129068_195	IDFM:22160	12	19:25:00	19:25:00
IDFM:RATP:112742-C01376-COU_RATP_5086081_3129068_195	IDFM:22158	13	19:26:00	19:26:00
IDFM:RATP:112742-C01376-COU_RATP_5086081_3129068_195	IDFM:22155	14	19:27:00	19:27:00
IDFM:RATP:112742-C01376-COU_RATP_5086081_3129068_195	IDFM:22172	15	19:28:00	19:28:00
IDFM:RATP:112742-C01376-COU_RATP_5086081_3129068_195	IDFM:462955	16	19:29:00	19:29:00
IDFM:RATP:112742-C01376-COU_RATP_5086081_3129068_195	IDFM:462948	17	19:31:00	19:31:00
IDFM:RATP:112742-C01376-COU_RATP_5086081_3129068_195	IDFM:463314	18	19:32:00	19:32:00
IDFM:RATP:112742-C01376-COU_RATP_5086081_3129068_195	IDFM:22176	19	19:33:00	19:33:00
IDFM:RATP:112742-C01376-COU_RATP_5086081_3129068_195	IDFM:463194	20	19:34:00	19:34:00
IDFM:RATP:112742-C01376-COU_RATP_5086081_3129068_195	IDFM:22171	21	19:35:00	19:35:00
IDFM:RATP:112742-C01376-COU_RATP_5086081_3129068_195	IDFM:463005	22	19:37:00	19:37:00
IDFM:RATP:112742-C01376-COU_RATP_5086081_3129068_195	IDFM:22165	23	19:38:00	19:38:00
IDFM:RATP:112742-C01376-COU_RATP_5086081_3129068_195	IDFM:22164	24	19:40:00	19:40:00
IDFM:RATP:112742-C01376-COU_RATP_5086081_2953988_49	IDFM:463268	0	09:48:00	09:48:00
IDFM:RATP:112742-C01376-COU_RATP_5086081_2953988_49	IDFM:463101	1	09:49:00	09:49:00
IDFM:RATP:112742-C01376-COU_RATP_5086081_2953988_49	IDFM:22179	2	09:50:00	09:50:00
IDFM:RATP:112742-C01376-COU_RATP_5086081_2953988_49	IDFM:463099	3	09:51:00	09:51:00
IDFM:RATP:112742-C01376-COU_RATP_5086081_2953988_49	IDFM:22162	4	09:52:00	09:52:00
IDFM:RATP:112742-C01376-COU_RATP_5086081_2953988_49	IDFM:463140	5	09:53:00	09:53:00
IDFM:RATP:112742-C01376-COU_RATP_5086081_2953988_49	IDFM:22163	6	09:54:00	09:54:00
IDFM:RATP:112742-C01376-COU_RATP_5086081_2953988_49	IDFM:22166	7	09:55:00	09:55:00
IDFM:RATP:112742-C01376-COU_RATP_5086081_2953988_49	IDFM:22156	8	09:57:00	09:57:00
