route_id	stop_id	stop_name	stop_lon	stop_lat	OperatorName	Nom_commune	Code_insee
IDFM:C01371	IDFM:22086	Charles de Gaulle - Etoile	2.2951172138230334	48.87392926445533	RATP	Paris	75056
IDFM:C01371	IDFM:463041	Tuileries	2.3296780947116416	48.864477839314645	RATP	Paris	75056
IDFM:C01371	IDFM:22077	Porte de Vincennes	2.4108049967015006	48.84700773108863	RATP	Paris	75056
IDFM:C01371	IDFM:22104	Château de Vincennes	2.440540095406114	48.84431751431355	RATP	Paris	75056
IDFM:C01374	IDFM:22133	Simplon	2.347794968187123	48.8938152613519	RATP	Paris	75056
IDFM:C01374	IDFM:462974	Marcadet - Poissonniers	2.3495451670385634	48.89127969913649	RATP	Paris	75056
IDFM:C01374	IDFM:462995	Odéon	2.3395157696170745	48.852175453081486	RATP	Paris	75056
IDFM:C01374	IDFM:462993	Saint-Germain-des-Prés	2.3339874291342255	48.85367371343323	RATP	Paris	75056
IDFM:C01374	IDFM:22139	Saint-Sulpice	2.330611953081543	48.85120862756671	RATP	Paris	75056
IDFM:C01374	IDFM:22143	Montparnasse Bienvenue	2.3243294607791096	48.84385251452581	RATP	Paris	75056
IDFM:C01374	IDFM:463016	Vavin	2.3288628540691043	48.84205232329236	RATP	Paris	75056
IDFM:C01374	IDFM:22144	Mouton-Duvernet	2.32979034782274	48.831382009093616	RATP	Paris	75056
IDFM:C01374	IDFM:22154	Alésia	2.3270932349484528	48.82820106421924	RATP	Paris	75056
IDFM:C01374	IDFM:483279	Bagneux - Lucie Aubrac	2.3173900542429133	48.80356582047439	RATP	Bagneux	92007
IDFM:C01374	IDFM:483277	Barbara	2.3174992240284045	48.80979025430712	RATP	Bagneux	92007
IDFM:C01374	IDFM:463118	Alésia	2.3271926250651647	48.828152157703514	RATP	Paris	75056
IDFM:C01374	IDFM:463242	Mouton-Duvernet	2.329887640408421	48.83133758557153	RATP	Paris	75056
IDFM:C01374	IDFM:22135	Vavin	2.32902391746117	48.842242093452064	RATP	Paris	75056
IDFM:C01374	IDFM:462992	Saint-Sulpice	2.330953550650454	48.85113858957915	RATP	Paris	75056
IDFM:C01374	IDFM:22145	Odéon	2.339486020317896	48.85210334038093	RATP	Paris	75056
IDFM:C01374	IDFM:463306	Saint-Michel	2.343991799033288	48.85359407756809	RATP	Paris	75056
IDFM:C01374	IDFM:463161	Cité	2.347361051762225	48.85492106147581	RATP	Paris	75056
IDFM:C01374	IDFM:463158	Châtelet	2.3467600097151675	48.85971581985686	RATP	Paris	75056
IDFM:C01374	IDFM:22147	Etienne Marcel	2.3489761968791085	48.86370301202431	RATP	Paris	75056
IDFM:C01374	IDFM:22153	Château d'Eau	2.3560517414015862	48.87244691759551	RATP	Paris	75056
IDFM:C01374	IDFM:463022	Gare de l'Est	2.3578981321043053	48.876283511884786	RATP	Paris	75056
IDFM:C01376	IDFM:22177	Bel-Air	2.400867131995259	48.84142733223358	RATP	Paris	75056
IDFM:C01376	IDFM:463169	Daumesnil	2.3961460679154514	48.839537421644565	RATP	Paris	75056
IDFM:C01376	IDFM:463128	Bercy	2.3794765872566757	48.84018509185968	RATP	Paris	75056
IDFM:C01376	IDFM:22176	Cambronne	2.3029417283376117	48.84754311219352	RATP	Paris	75056
IDFM:C01376	IDFM:22164	Trocadéro	2.287625377853519	48.86346147371448	RATP	Paris	75056
IDFM:C01376	IDFM:463268	Trocadéro	2.2874927969664416	48.86348766501957	RATP	Paris	75056
IDFM:C01376	IDFM:22179	Bir-Hakeim	2.2892963570634604	48.85388427726308	RATP	Paris	75056
IDFM:C01376	IDFM:22163	Sèvres-Lecourbe	2.3094677673863235	48.84558437021755	RATP	Paris	75056
IDFM:C01376	IDFM:22166	Pasteur	2.312792651441268	48.842482718285865	RATP	Paris	75056
IDFM:C01376	IDFM:463100	Edgar Quinet	2.3252865779432965	48.84090350169825	RATP	Paris	75056
IDFM:C01376	IDFM:463105	Corvisart	2.350611225926166	48.82986001331238	RATP	Paris	75056
IDFM:C01376	IDFM:463147	Chevaleret	2.3680951237726693	48.83494516788824	RATP	Paris	75056
IDFM:C01371	IDFM:463170	Esplanade de la Défense	2.249931086743073	48.88834989394862	RATP	Courbevoie	92026
