route_id	trip_id	trip_headsign
IDFM:C01374	IDFM:RATP:107752-C01374-COU_RATP_5082721_2701031_432	Bagneux - Lucie Aubrac
IDFM:C01374	IDFM:RATP:107752-C01374-COU_RATP_5082721_2701031_431	Bagneux - Lucie Aubrac
IDFM:C01374	IDFM:RATP:107752-C01374-COU_RATP_5082721_2701031_429	Bagneux - Lucie Aubrac
IDFM:C01374	IDFM:RATP:107752-C01374-COU_RATP_5082721_2701031_428	Bagneux - Lucie Aubrac
IDFM:C01374	IDFM:RATP:107752-C01374-COU_RATP_5082721_2701031_427	Bagneux - Lucie Aubrac
IDFM:C01374	IDFM:RATP:107752-C01374-COU_RATP_5082721_2701031_426	Bagneux - Lucie Aubrac
IDFM:C01374	IDFM:RATP:107752-C01374-COU_RATP_5082721_2701031_425	Bagneux - Lucie Aubrac
IDFM:C01374	IDFM:RATP:107752-C01374-COU_RATP_5082721_2701031_424	Bagneux - Lucie Aubrac
IDFM:C01374	IDFM:RATP:107752-C01374-COU_RATP_5082721_2701031_423	Bagneux - Lucie Aubrac
IDFM:C01374	IDFM:RATP:107752-C01374-COU_RATP_5082721_2701031_422	Bagneux - Lucie Aubrac
IDFM:C01374	IDFM:RATP:107752-C01374-COU_RATP_5082721_2701031_421	Bagneux - Lucie Aubrac
IDFM:C01374	IDFM:RATP:107752-C01374-COU_RATP_5082721_2701031_420	Bagneux - Lucie Aubrac
IDFM:C01374	IDFM:RATP:107752-C01374-COU_RATP_5082721_2701031_419	Bagneux - Lucie Aubrac
IDFM:C01374	IDFM:RATP:107752-C01374-COU_RATP_5082721_2701031_418	Bagneux - Lucie Aubrac
IDFM:C01374	IDFM:RATP:107752-C01374-COU_RATP_5082721_2701031_417	Bagneux - Lucie Aubrac
IDFM:C01374	IDFM:RATP:107752-C01374-COU_RATP_5082721_2701031_416	Bagneux - Lucie Aubrac
IDFM:C01374	IDFM:RATP:107752-C01374-COU_RATP_5082721_2701031_415	Bagneux - Lucie Aubrac
IDFM:C01374	IDFM:RATP:107752-C01374-COU_RATP_5082721_2701031_414	Bagneux - Lucie Aubrac
